eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss
50.0,17000,0.10000000149011612,,,,,,0.2,-0.02014007946709171,0.3922272324562073,80,0.016401313,0.0003,0.1765625,-0.0034086285158991814,0.0014127008935247432,-4.955977648496628
50.0,18000,0.10000000149011612,,,,,,,,,,,,,,,
,18432,,19,0.16700000000000004,50.0,9,948,,,,,,,,,,
50.0,19000,0.10000000149011612,,,,,,0.2,-0.01461239758937154,0.5010195970535278,90,0.0123658255,0.0003,0.134912109375,0.007460178807377815,0.0012818206545489375,-4.932448782026768
50.0,20000,0.10000000149011612,,,,,,,,,,,,,,,
,20480,,19,0.17800000000000002,50.0,10,1053,,,,,,,,,,
50.0,21000,0.0,,,,,,0.2,-0.0188925888040103,0.4557585120201111,100,0.01243134,0.0003,0.1638671875,-0.006535972002893686,0.0016946614061453147,-4.886786191165447
50.0,22000,0.0,,,,,,,,,,,,,,,
,22528,,19,0.18899999999999997,49.98,11,1158,,,,,,,,,,
50.0,23000,0.10000000149011612,,,,,,0.2,-0.01846190043434035,0.4740638732910156,110,0.013032309,0.0003,0.156787109375,-0.041232217103242874,0.0015264783187376452,-4.855350933969021
50.0,24000,0.10000000149011612,,,,,,,,,,,,,,,
,24576,,19,0.20400000000000001,49.5,12,1264,,,,,,,,,,
50.0,25000,0.0,,,,,,0.2,-0.02032673887151759,0.4236775040626526,120,0.016411858,0.0003,0.18095703125,-0.003177674487233162,0.0019605750600021564,-4.818957148492336
50.0,26000,0.0,,,,,,,,,,,,,,,
,26624,,19,0.21900000000000003,49.5,13,1369,,,,,,,,,,
50.0,27000,0.0,,,,,,0.2,-0.022576735012989957,0.5331844389438629,130,0.01777532,0.0003,0.200390625,-0.05393172800540924,0.0017518433582154103,-4.747501318156719
50.0,28000,0.0,,,,,,,,,,,,,,,
,28672,,19,0.21900000000000003,49.5,14,1474,,,,,,,,,,
50.0,29000,0.0,,,,,,0.2,-0.020451908500399442,0.5576727390289307,140,0.014433819,0.0003,0.189453125,-0.006141469813883305,0.0016474466294312152,-4.7068617448210714
