eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/loss
10.0,0.9,31000,,,,,,300,-0.04441681109019555,-3.9082072615623473,0.0013832346751314617,0.035084426403045654,0.0003,0.943310546875,57.670876,0.2,-0.08371090888977051
10.0,0.9,32000,,,,,,,,,,,,,,,
,,32768,16,0,0.9000000000000005,-1683717611046679552,11.83,,,,,,,,,,
10.0,0.9,33000,,,,,,320,-0.04906878661131486,-3.7379383191466333,0.0026282366971940975,0.0263216495513916,0.0003,0.950390625,129.59895,0.2,-0.08362322300672531
10.0,0.9,34000,,,,,,,,,,,,,,,
,,34816,17,0,0.9000000000000005,-1683717611046679552,12.28,,,,,,,,,,
10.0,0.9,35000,,,,,,340,-0.05565565043361857,-3.5142880715429783,0.00039311219683213494,0.08113300800323486,0.0003,0.949609375,108.15045,0.2,-0.07625482976436615
10.0,0.9,36000,,,,,,,,,,,,,,,
,,36864,18,0,0.9000000000000005,-1683717611046679552,12.7,,,,,,,,,,
10.0,0.9,37000,,,,,,360,0.1508676149882376,-3.281357917189598,0.0026443430527251623,0.03432893753051758,0.0003,0.9333984375,92.193344,0.2,-0.0682997927069664
10.0,0.9,38000,,,,,,,,,,,,,,,
,,38912,19,0,0.9000000000000005,-1683717611046679552,11.71,,,,,,,,,,
10.0,0.9,39000,,,,,,380,-0.06622500265366398,-2.940858060121536,0.0023809908764860664,-0.06838059425354004,0.0003,0.936962890625,198.66081,0.2,-0.06819339841604233
10.0,0.9,40000,,,,,,,,,,,,,,,
,,40960,20,0,0.9000000000000005,-1683717611046679296,11.91,,,,,,,,,,
10.0,0.9,41000,,,,,,400,-0.05888793830526993,-2.6942156843841074,0.0004053617797694642,-0.09744906425476074,0.0003,0.91533203125,100.30122,0.2,-0.07610304653644562
10.0,0.9,42000,,,,,,,,,,,,,,,
10.0,0.9,43000,,,,,,,,,,,,,,,
,,43008,21,0,0.9000000000000005,-1683717611046679296,11.51,,,,,,,,,,
10.0,0.9,44000,,,,,,420,-0.05492790645221248,-2.3246895294636487,0.004750358732690074,-0.12514770030975342,0.0003,0.91806640625,143.4921,0.2,-0.06825874745845795
10.0,0.9,45000,,,,,,,,,,,,,,,
,,45056,22,0,0.9000000000000005,-1683717611046679296,11.14,,,,,,,,,,
10.0,0.9,46000,,,,,,440,0.26877472615451553,-2.1315732289105656,0.0016145893808243272,-0.013821601867675781,0.0003,0.8515625,494.3689,0.2,-0.08338995277881622
10.0,0.9,47000,,,,,,,,,,,,,,,
,,47104,23,0,0.9000000000000005,-1683717611046679296,10.8,,,,,,,,,,
10.0,0.9,48000,,,,,,460,1.0054334608023054,-1.8921364773064853,0.000494924086899573,-0.10070681571960449,0.0003,0.884521484375,140.818,0.2,-0.07048237323760986
10.0,0.9,49000,,,,,,,,,,,,,,,
,,49152,24,0,0.9000000000000005,-1683717611046679296,10.56,,,,,,,,,,
10.0,0.9,50000,,,,,,480,-0.0557809233723674,-1.4004915410652756,0.00255343534028043,-0.14290225505828857,0.0003,0.767138671875,136.34624,0.2,-0.08031798154115677
10.0,0.9,51000,,,,,,,,,,,,,,,
,,51200,25,0,0.9000000000000005,-1683717611046679040,10.38,,,,,,,,,,
