eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/explained_variance
,71680,,0.40299999999999997,20,3505,35,11.66,,,,,,,,,,
4.0,72000,0.4000000059604645,,,,,,0.017828032,-0.0164143184752902,0.2654296875,0.00040701499871715897,350,0.0003,0.0018028505146503448,0.2,-2.7750266268849373,0.9541683681309223
4.0,73000,0.4000000059604645,,,,,,,,,,,,,,,
,73728,,0.40299999999999997,20,3582,36,10.03,,,,,,,,,,
4.0,74000,0.4000000059604645,,,,,,0.0111886365,-0.012705486206687055,0.163818359375,0.0005371479953240055,360,0.0003,-0.018915781751275063,0.2,-2.5241924576461314,0.9519360437989235
4.0,75000,0.4000000059604645,,,,,,,,,,,,,,,
,75776,,0.40299999999999997,20,3659,37,8.73,,,,,,,,,,
4.0,76000,0.4000000059604645,,,,,,0.034994338,-0.020355561820906587,0.2849609375,0.0004984013270245668,370,0.0003,-0.03794563561677933,0.2,-2.220838065445423,0.9391244649887085
4.0,77000,0.4000000059604645,,,,,,,,,,,,,,,
,77824,,0.3999999999999999,20,3735,38,7.73,,,,,,,,,,
4.0,78000,0.4000000059604645,,,,,,0.031786595,-0.030302507104352117,0.306884765625,0.0003350082065253446,380,0.0003,-0.05268869549036026,0.2,-1.9643668193370103,0.9743009489029646
4.0,79000,0.4000000059604645,,,,,,,,,,,,,,,
,79872,,0.3999999999999999,20,3811,39,6.99,,,,,,,,,,
4.0,80000,0.4000000059604645,,,,,,0.02304798,-0.03761796036560554,0.328271484375,0.0002796181036032408,390,0.0003,-0.052222829312086105,0.2,-1.6966098237782716,0.9803097546100616
4.0,81000,0.4000000059604645,,,,,,,,,,,,,,,
,81920,,0.3999999999999999,21,3884,40,5.73,,,,,,,,,,
4.0,82000,0.4000000059604645,,,,,,0.07580622,-0.03729479289322626,0.3923828125,6.71287749014482e-06,400,0.0003,-0.0798121839761734,0.2,-1.179973196424544,0.9978956230916083
4.0,83000,0.4000000059604645,,,,,,,,,,,,,,,
,83968,,0.3999999999999999,21,3955,41,4.97,,,,,,,,,,
4.0,84000,0.4000000059604645,,,,,,0.024292232,-0.04521835362538695,0.3587890625,5.7295556415937196e-05,410,0.0003,-0.0734567940235138,0.2,-0.7097649766132236,0.9960239762440324
4.0,85000,0.4000000059604645,,,,,,,,,,,,,,,
4.0,86000,0.4000000059604645,,,,,,,,,,,,,,,
,86016,,0.40299999999999997,21,4025,42,4.78,,,,,,,,,,
4.0,87000,0.4000000059604645,,,,,,0.028952284,-0.041930971972760744,0.298388671875,0.0001865392041516145,420,0.0003,-0.001960399094969034,0.2,-0.45533535573631523,0.9873721869662404
4.0,88000,0.4000000059604645,,,,,,,,,,,,,,,
,88064,,0.4019999999999999,21,4093,43,4.4,,,,,,,,,,
4.0,89000,0.4000000059604645,,,,,,0.05709584,-0.024882285439525732,0.084375,0.0002044770638143234,430,0.0003,-0.020583240315318108,0.2,-0.30850287140347066,0.9849060215055943
4.0,90000,0.4000000059604645,,,,,,,,,,,,,,,
,90112,,0.4019999999999999,21,4163,44,4.83,,,,,,,,,,
4.0,91000,0.4000000059604645,,,,,,0.008206401,-0.01842293091467582,0.120263671875,7.500785500269558e-05,440,0.0003,-0.033021632581949234,0.2,-0.4227130152285099,0.992383724078536
4.0,92000,0.4000000059604645,,,,,,,,,,,,,,,
,92160,,0.40299999999999997,21,4232,45,4.63,,,,,,,,,,
4.0,93000,0.4000000059604645,,,,,,0.004019473,-0.012637464769068175,0.05693359375,0.000247381184001938,450,0.0003,-0.0012972122058272362,0.2,-0.4033159388229251,0.9812068231403828
4.0,94000,0.4000000059604645,,,,,,,,,,,,,,,
,94208,,0.40099999999999997,21,4301,46,4.47,,,,,,,,,,
4.0,95000,0.4000000059604645,,,,,,0.057226565,-0.03137591668928508,0.202587890625,8.435351792002166e-05,460,0.0003,-0.08743974566459656,0.2,-0.3778333344962448,0.988656890578568
4.0,96000,0.4000000059604645,,,,,,,,,,,,,,,
,96256,,0.3999999999999999,22,4371,47,5.08,,,,,,,,,,
4.0,97000,0.4000000059604645,,,,,,0.010097284,-0.0204637132701464,0.2216796875,6.651365808281184e-05,470,0.0003,-0.04305095970630646,0.2,-0.5271829891949892,0.9953390313312411
4.0,98000,0.4000000059604645,,,,,,,,,,,,,,,
,98304,,0.3999999999999999,22,4441,48,4.75,,,,,,,,,,
4.0,99000,0.4000000059604645,,,,,,0.051627133,-0.033718717144802214,0.320556640625,0.00016270678192427114,480,0.0003,0.039207782596349716,0.2,-0.39915078710764645,0.988684250973165
4.0,100000,0.4000000059604645,,,,,,,,,,,,,,,
,100352,,0.3999999999999999,22,4511,49,5.0,,,,,,,,,,
