time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates
99000,1000.0,0.10000000149011612,,,,,,-0.014041951857507229,-5.937976822257042,0.0003,0.193017578125,0.2,0.00024566485094510424,0.017193489,0.9258103221654892,-0.029695656936382875,480
100000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
100352,,,4037,996.84,24,49,0.7190000000000002,,,,,,,,,,
101000,1000.0,0.10000000149011612,,,,,,-0.02080090343952179,-5.9275274813175205,0.0003,0.26171875,0.2,0.0008287903898462901,0.018203855,0.902543380856514,-0.02505042833799962,490
102000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
102400,,,4118,999.72,24,50,0.7290000000000002,,,,,,,,,,
103000,1000.0,0.10000000149011612,,,,,,-0.045433953404426575,-5.937973068654538,0.0003,0.204638671875,0.2,0.0005316564770282639,0.01840027,0.9389819167554379,-0.027521031501237303,500
104000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
104448,,,4199,1000.82,24,51,0.7290000000000001,,,,,,,,,,
105000,1000.0,0.10000000149011612,,,,,,-0.021495889872312546,-5.96446720212698,0.0003,0.225,0.2,0.00048271139417011,0.01874035,0.9204137027263641,-0.02687245813431218,510
106000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
106496,,,4280,1000.0,24,52,0.7269999999999999,,,,,,,,,,
107000,1000.0,0.10000000149011612,,,,,,-0.03933476284146309,-5.89420894831419,0.0003,0.13291015625,0.2,0.00036739319681373673,0.012305519,0.8857446387410164,-0.0191772668302292,520
108000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
108544,,,4361,1000.0,24,53,0.7299999999999999,,,,,,,,,,
109000,1000.0,0.10000000149011612,,,,,,-0.018511278554797173,-5.972181499004364,0.0003,0.257275390625,0.2,0.0006386166081028932,0.024735626,0.6340426504611969,-0.025676487336750143,530
110000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
110592,,,4443,1000.0,24,54,0.733,,,,,,,,,,
111000,1000.0,0.10000000149011612,,,,,,-0.07269877940416336,-5.920443384349346,0.0003,0.19375,0.2,0.000189799982194927,0.020177517,0.9039635434746742,-0.025884541394771077,540
112000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
112640,,,4525,1000.0,24,55,0.7360000000000001,,,,,,,,,,
113000,1000.0,0.10000000149011612,,,,,,-0.07582993805408478,-5.806628489494324,0.0003,0.236572265625,0.2,0.00020720033803058868,0.022832604,0.916226789355278,-0.02642951544257812,550
114000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
114688,,,4606,1000.0,24,56,0.7340000000000001,,,,,,,,,,
115000,1000.0,0.10000000149011612,,,,,,-0.03193225711584091,-5.761497734487056,0.0003,0.21005859375,0.2,0.00039990234342894836,0.0181417,0.9128154963254929,-0.02444159672013484,560
116000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
116736,,,4688,1000.0,24,57,0.7370000000000002,,,,,,,,,,
117000,1000.0,0.10000000149011612,,,,,,-0.0337156318128109,-5.708776235580444,0.0003,0.21259765625,0.2,0.00018209404796607487,0.017787566,0.9560590088367462,-0.0256127101223683,570
118000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
118784,,,4769,998.97,24,58,0.737,,,,,,,,,,
119000,1000.0,0.10000000149011612,,,,,,-0.029936622828245163,-5.614836585521698,0.0003,0.188818359375,0.2,0.0003780236359716582,0.02169379,0.938019834458828,-0.02243550040293485,580
120000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
120832,,,4851,1000.0,24,59,0.7420000000000002,,,,,,,,,,
