time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
18000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
18432,,,50.0,19,947,0.13999999999999999,9,,,,,,,,,,
19000,0.10000000149011612,50.0,,,,,,0.0003,-0.03732161968946457,0.0012919465008963016,0.0142817525,90,0.41579991579055786,0.2,-0.019890739413676785,-4.9544722333550455,0.192041015625
20000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
20480,,,50.0,19,1052,0.152,10,,,,,,,,,,
21000,0.10000000149011612,50.0,,,,,,0.0003,-0.01782698929309845,0.0015571895008179126,0.0113531435,100,0.41677993535995483,0.2,-0.015697248130163644,-4.929323136806488,0.14677734375
22000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
22528,,,50.0,19,1158,0.16500000000000004,11,,,,,,,,,,
23000,0.10000000149011612,50.0,,,,,,0.0003,0.012581370770931244,0.0016237608322626329,0.010601694,110,0.3934268355369568,0.2,-0.0144089259323664,-4.9138552963733675,0.137451171875
24000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
24576,,,49.65,19,1263,0.16899999999999998,12,,,,,,,,,,
25000,0.10000000149011612,50.0,,,,,,0.0003,-0.05600011721253395,0.0018694318721827585,0.012561001,120,0.37597280740737915,0.2,-0.016827378448215313,-4.84370186328888,0.1578125
26000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
26624,,,49.41,19,1368,0.19,13,,,,,,,,,,
27000,0.10000000149011612,50.0,,,,,,0.0003,-0.03641526401042938,0.002138216658931924,0.012105508,130,0.3095167279243469,0.2,-0.018963089369935914,-4.845833352208137,0.163232421875
28000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
28672,,,49.21,19,1473,0.20199999999999999,14,,,,,,,,,,
29000,0.10000000149011612,50.0,,,,,,0.0003,-0.00937663298100233,0.0015384542208266793,0.014459068,140,0.5882768034934998,0.2,-0.016167483158642425,-4.797062672674656,0.1546875
30000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
30720,,,49.88,19,1578,0.20600000000000004,15,,,,,,,,,,
31000,0.10000000149011612,50.0,,,,,,0.0003,-0.0016283089062198997,0.0014147465366477264,0.013232748,150,0.6263993978500366,0.2,-0.014352078069350682,-4.732006271183491,0.1671875
32000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
32768,,,48.89,19,1683,0.23799999999999996,16,,,,,,,,,,
33000,0.10000000149011612,50.0,,,,,,0.0003,-0.003053007647395134,0.0020298535338952204,0.012077216,160,0.5809235572814941,0.2,-0.016619908579741605,-4.694750016927719,0.15771484375
34000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
34816,,,47.59,19,1788,0.26199999999999996,17,,,,,,,,,,
35000,0.10000000149011612,50.0,,,,,,0.0003,-0.04799306392669678,0.002400144885541522,0.013147432,170,0.557121992111206,0.2,-0.017038337764097376,-4.634419064223766,0.167431640625
36000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
36864,,,46.39,19,1892,0.26599999999999996,18,,,,,,,,,,
37000,0.10000000149011612,50.0,,,,,,0.0003,-0.023572053760290146,0.0020462797772779597,0.012934631,180,0.6050916016101837,0.2,-0.01720920726074837,-4.572267556190491,0.1544921875
38000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
38912,,,44.27,19,1996,0.293,19,,,,,,,,,,
39000,0.10000000149011612,50.0,,,,,,0.0003,0.014837855473160744,0.002773221747702337,0.014948769,190,0.4796319007873535,0.2,-0.01894714254012797,-4.463689269125462,0.1779296875
40000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
40960,,,41.74,19,2099,0.32799999999999996,20,,,,,,,,,,
41000,0.4000000059604645,4.0,,,,,,0.0003,-0.04255247488617897,0.0022101492490037345,0.01806501,200,0.6116963028907776,0.2,-0.024543552930117583,-4.381706149876118,0.237841796875
42000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
43000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
43008,,,40.41,19,2184,0.3369999999999999,21,,,,,,,,,,
44000,0.4000000059604645,4.0,,,,,,0.0003,-0.047140590846538544,0.0028290019668929744,0.014388364,210,0.6013159155845642,0.2,-0.01591445445228601,-4.282935482263565,0.1662109375
45000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
45056,,,36.39,19,2267,0.361,22,,,,,,,,,,
46000,0.4000000059604645,4.0,,,,,,0.0003,-0.030580857768654823,0.0021395660030975707,0.019330114,220,0.6580761969089508,0.2,-0.0231594318698626,-4.137186066806317,0.240185546875
47000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
47104,,,32.44,20,2350,0.37799999999999995,23,,,,,,,,,,
48000,0.4000000059604645,4.0,,,,,,0.0003,-0.05696767941117287,0.0021345140357880155,0.016149512,230,0.6757305562496185,0.2,-0.015844546715379694,-4.021433781087398,0.17470703125
49000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
49152,,,29.03,20,2433,0.373,24,,,,,,,,,,
50000,0.4000000059604645,4.0,,,,,,0.0003,-0.017987241968512535,0.0029387166679953223,0.015089979,240,0.5386890769004822,0.2,-0.017532584379659967,-3.954537483304739,0.194384765625
51000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
51200,,,23.88,20,2515,0.3919999999999999,25,,,,,,,,,,
52000,0.4000000059604645,4.0,,,,,,0.0003,-0.028002174571156502,0.0011009828145688515,0.020584404,250,0.7283877432346344,0.2,-0.023916988808196038,-3.7282771289348604,0.2400390625
53000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
53248,,,19.03,20,2596,0.3999999999999999,26,,,,,,,,,,
54000,0.4000000059604645,4.0,,,,,,0.0003,-0.042513519525527954,0.0003182616839694674,0.015451096,260,0.9068487584590912,0.2,-0.02324010110460222,-3.5254174187779426,0.193701171875
55000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
55296,,,18.86,20,2678,0.40299999999999997,27,,,,,,,,,,
56000,0.20000000298023224,50.0,,,,,,0.0003,-0.04824141040444374,0.0005058972939423256,0.022062037,270,0.9187445640563965,0.2,-0.02368468228087295,-3.364846361428499,0.2875
