eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance
50.0,17000,0.0,,,,,,-0.010368796024704353,0.097900390625,-4.943467976152897,0.009371333,0.0016121451799335773,0.009102363139390945,0.0003,0.2,80,0.214768648147583
50.0,18000,0.0,,,,,,,,,,,,,,,
,18432,,0.13499999999999998,19,9,935,50.0,,,,,,,,,,
50.0,19000,0.0,,,,,,-0.016159605773282237,0.154833984375,-4.916075360774994,0.011649704,0.0015605655673425645,-0.04109570384025574,0.0003,0.2,90,0.3172295093536377
50.0,20000,0.0,,,,,,,,,,,,,,,
,20480,,0.148,19,10,1038,50.0,,,,,,,,,,
50.0,21000,0.0,,,,,,-0.018243207409977914,0.17685546875,-4.873189191520214,0.014466746,0.001614967262139544,0.0332455150783062,0.0003,0.2,100,0.4134311079978943
50.0,22000,0.0,,,,,,,,,,,,,,,
,22528,,0.18099999999999997,19,11,1142,50.0,,,,,,,,,,
50.0,23000,0.0,,,,,,-0.018941196947707795,0.165869140625,-4.84783824980259,0.014787607,0.0017491258406153066,-0.013428389094769955,0.0003,0.2,110,0.48097074031829834
50.0,24000,0.0,,,,,,,,,,,,,,,
,24576,,0.20700000000000002,19,12,1246,50.0,,,,,,,,,,
50.0,25000,0.0,,,,,,-0.020525111703318544,0.195654296875,-4.785575643181801,0.015290158,0.0017425518792151707,-0.04080754891037941,0.0003,0.2,120,0.5148148238658905
50.0,26000,0.0,,,,,,,,,,,,,,,
,26624,,0.226,19,13,1350,49.88,,,,,,,,,,
50.0,27000,0.0,,,,,,-0.02159357191703748,0.183642578125,-4.691365225613117,0.014675039,0.0018904862095951102,-0.031666286289691925,0.0003,0.2,130,0.5734913051128387
50.0,28000,0.0,,,,,,,,,,,,,,,
,28672,,0.23500000000000007,19,14,1453,49.96,,,,,,,,,,
50.0,29000,0.30000000447034836,,,,,,-0.019093661820807028,0.18798828125,-4.656008173525334,0.0161235,0.0015099365866262815,-0.04453766345977783,0.0003,0.2,140,0.6908653080463409
50.0,30000,0.30000000447034836,,,,,,,,,,,,,,,
,30720,,0.24700000000000003,19,15,1557,50.38,,,,,,,,,,
50.0,31000,0.30000000447034836,,,,,,-0.017794361640699207,0.185302734375,-4.584890860319137,0.013539621,0.0014281718749771244,-0.03940295800566673,0.0003,0.2,150,0.730268806219101
50.0,32000,0.30000000447034836,,,,,,,,,,,,,,,
,32768,,0.263,19,16,1661,50.0,,,,,,,,,,
50.0,33000,0.30000000447034836,,,,,,-0.023634860696620307,0.211328125,-4.564791069924832,0.016551303,0.0005492374089044461,-0.01904018595814705,0.0003,0.2,160,0.8570568859577179
50.0,34000,0.30000000447034836,,,,,,,,,,,,,,,
,34816,,0.288,19,17,1765,50.23,,,,,,,,,,
