eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl
0.0,58000,1000.0,,,,,,280,0.00047420039870758044,0.16552734375,0.0003,-6.2528190717101095,-0.021174993742897642,0.2,-0.06870945543050766,0.8555984050035477,0.015543981
0.0,59000,1000.0,,,,,,,,,,,,,,,
,59392,,2383,1000.0,24,29,0.6525423728813561,,,,,,,,,,
0.0,60000,1000.0,,,,,,290,0.0005404671042924747,0.15771484375,0.0003,-6.239008343219757,-0.023326237044238952,0.2,-0.019642921164631844,0.6355983316898346,0.013575671
0.0,61000,1000.0,,,,,,,,,,,,,,,
,61440,,2465,1000.0,24,30,0.6508196721311477,,,,,,,,,,
0.0,62000,1000.0,,,,,,300,0.000619494057900738,0.19443359375,0.0003,-6.207992872595787,-0.027360928668349514,0.2,-0.03305130451917648,0.767339676618576,0.019642863
0.0,63000,1000.0,,,,,,,,,,,,,,,
,63488,,2546,995.6984126984127,24,31,0.6539682539682541,,,,,,,,,,
0.0,64000,1000.0,,,,,,310,0.0018385563051197095,0.19970703125,0.0003,-6.250652574002743,-0.026297748676734047,0.2,-0.04026203975081444,0.6931122243404388,0.018662982
0.0,65000,1000.0,,,,,,,,,,,,,,,
,65536,,2628,999.3230769230769,24,32,0.6676923076923077,,,,,,,,,,
0.0,66000,1000.0,,,,,,320,0.000586512283734919,0.18349609375,0.0003,-6.2105580270290375,-0.026524969114689156,0.2,-0.03318272531032562,0.7197161018848419,0.015615717
0.0,67000,1000.0,,,,,,,,,,,,,,,
,67584,,2709,1000.0,24,33,0.6716417910447762,,,,,,,,,,
0.0,68000,1000.0,,,,,,330,0.0008148887990500952,0.18359375,0.0003,-6.248314563930035,-0.022958085493883118,0.2,-0.03363225981593132,0.8246807605028152,0.017385304
0.0,69000,1000.0,,,,,,,,,,,,,,,
,69632,,2790,1000.0,24,34,0.6710144927536232,,,,,,,,,,
0.0,70000,1000.0,,,,,,340,0.00028642723701750584,0.20361328125,0.0003,-6.166547718644142,-0.025249351517413744,0.2,-0.055508363991975784,0.9090589210391045,0.017493904
