time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss
54000,0.10000000149011612,1000.0,,,,,,-0.02476201950630639,260,0.2,0.159033203125,0.0003,-0.024760117754340172,0.0003289732600251227,0.014880909,0.9083054736256599,-6.113539417088032
55000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
55296,,,27,0.7545454545454545,1000.0,24,2224,,,,,,,,,,
56000,0.10000000149011612,1000.0,,,,,,-0.02588729766139295,270,0.2,0.229052734375,0.0003,-0.053296759724617004,0.0009073183998680179,0.019984009,0.6752596497535706,-6.246135123074055
57000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
57344,,,28,0.7491228070175437,1000.0,24,2306,,,,,,,,,,
58000,0.10000000149011612,1000.0,,,,,,-0.030535567583865487,280,0.2,0.206591796875,0.0003,-0.018147071823477745,0.0002710326781766526,0.024747685,0.9105823338031769,-6.145274172723293
59000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
59392,,,29,0.7508474576271186,997.9830508474577,24,2387,,,,,,,,,,
60000,0.10000000149011612,1000.0,,,,,,-0.02576460539130494,290,0.2,0.208544921875,0.0003,-0.024502893909811974,0.0009921737937474973,0.018782351,0.8827987611293793,-6.1858302161097525
61000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
61440,,,30,0.7491803278688524,1000.0,24,2469,,,,,,,,,,
62000,0.10000000149011612,1000.0,,,,,,-0.01932622570602689,300,0.2,0.1966796875,0.0003,-0.03389536216855049,0.0025373670643148217,0.015351433,0.7680657207965851,-6.213928949832916
63000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
63488,,,31,0.7476190476190475,1000.0,24,2550,,,,,,,,,,
64000,0.10000000149011612,1000.0,,,,,,-0.02272896938957274,310,0.2,0.1810546875,0.0003,-0.04433543607592583,0.0017197838967149437,0.016066393,0.6741041243076324,-6.262147533893585
65000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
65536,,,32,0.7446153846153846,1000.0,24,2632,,,,,,,,,,
66000,0.10000000149011612,1000.0,,,,,,-0.025376183568732814,320,0.2,0.152783203125,0.0003,-0.04160382226109505,0.0003207875571661134,0.014108503,0.9133224636316299,-6.098601403832435
67000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
67584,,,33,0.7432835820895523,1000.0,24,2713,,,,,,,,,,
68000,0.10000000149011612,1000.0,,,,,,-0.025549270247574897,330,0.2,0.205224609375,0.0003,-0.06487666070461273,0.0004267954911142624,0.01584064,0.6725315749645233,-6.18444803506136
69000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
69632,,,34,0.7420289855072465,1000.0,24,2794,,,,,,,,,,
70000,0.10000000149011612,1000.0,,,,,,-0.020895393931277796,340,0.2,0.203271484375,0.0003,-0.015397953800857067,0.00035552878023281664,0.017463712,0.8932938799262047,-6.118162052333355
71000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
71680,,,35,0.7408450704225354,1000.0,24,2876,,,,,,,,,,
72000,0.10000000149011612,1000.0,,,,,,-0.02737387665838469,350,0.2,0.185107421875,0.0003,-0.06989619880914688,0.000261338920313392,0.016378399,0.8716722875833511,-6.184190626442432
73000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
73728,,,36,0.7383561643835618,1000.0,24,2957,,,,,,,,,,
74000,0.10000000149011612,1000.0,,,,,,-0.018690589588368313,360,0.2,0.173193359375,0.0003,-0.018709057942032814,0.00018018618013684317,0.015321538,0.9403476044535637,-6.101918768882752
75000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
75776,,,37,0.7386666666666667,1000.0,24,3039,,,,,,,,,,
76000,0.30000000447034836,1000.0,,,,,,-0.026470064229215495,370,0.2,0.22333984375,0.0003,-0.031150052323937416,0.00039491359175372056,0.018738626,0.9135101139545441,-6.12248116582632
77000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
77824,,,38,0.7376623376623377,1000.0,24,3120,,,,,,,,,,
78000,0.10000000149011612,1000.0,,,,,,-0.024598829925525933,380,0.2,0.231298828125,0.0003,-0.041560668498277664,0.00047354636062664214,0.01933585,0.7863610833883286,-6.078531882166862
79000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
79872,,,39,0.7392405063291139,1000.0,24,3201,,,,,,,,,,
80000,0.30000000447034836,1000.0,,,,,,-0.02495584591233637,390,0.2,0.19287109375,0.0003,-0.010227886028587818,0.0006687267504730699,0.016968276,0.7498115003108978,-6.078746896982193
81000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
81920,,,40,0.7382716049382717,1000.0,24,3283,,,,,,,,,,
82000,0.30000000447034836,1000.0,,,,,,-0.025765865499852224,400,0.2,0.1671875,0.0003,-0.03115127794444561,0.0006367168694850989,0.016242297,0.8090676516294479,-6.05460058748722
83000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
83968,,,41,0.7397590361445783,1000.0,24,3364,,,,,,,,,,
84000,0.30000000447034836,1000.0,,,,,,-0.025187950185500085,410,0.2,0.195556640625,0.0003,-0.03301916643977165,0.0005024245551567219,0.016230432,0.8051198720932007,-5.992913307249546
85000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
86000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
86016,,,42,0.7395348837209302,1000.0,24,3473,,,,,,,,,,
87000,0.30000000447034836,1000.0,,,,,,-0.022075610168394634,420,0.2,0.15751953125,0.0003,-0.05218644440174103,0.0005180087975418246,0.014071572,0.8776690661907196,-6.083124530315399
88000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
88064,,,43,0.740909090909091,998.8977272727273,24,3554,,,,,,,,,,
89000,0.30000000447034836,1000.0,,,,,,-0.024296160307130776,430,0.2,0.1748046875,0.0003,-0.0072579700499773026,0.00032014467331009655,0.014696719,0.923694521188736,-6.0086813271045685
90000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
90112,,,44,0.7555555555555558,1000.0,24,3636,,,,,,,,,,
91000,0.30000000447034836,1000.0,,,,,,-0.0210909341374645,440,0.2,0.163330078125,0.0003,-0.031667158007621765,0.0006728592212311924,0.013993654,0.8914623633027077,-6.013584223389626
92000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
92160,,,45,0.7576086956521741,996.0434782608696,24,3717,,,,,,,,,,
93000,0.30000000447034836,1000.0,,,,,,-0.026283483405131848,450,0.2,0.1904296875,0.0003,-0.04792381823062897,0.0006024550524216466,0.017426625,0.8941510990262032,-6.0164563119411465
94000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
94208,,,46,0.7617021276595747,1000.0,24,3798,,,,,,,,,,
95000,0.30000000447034836,1000.0,,,,,,-0.018263300228863955,460,0.2,0.17412109375,0.0003,-0.029332047328352928,0.00024379889268857368,0.014177873,0.8937029466032982,-5.9706504687666895
96000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
96256,,,47,0.7635416666666667,993.4895833333334,24,3880,,,,,,,,,,
97000,0.30000000447034836,1000.0,,,,,,-0.021831116246175952,470,0.2,0.17705078125,0.0003,-0.010080100037157536,0.000485850447375924,0.015106982,0.8936558291316032,-5.925339488685131
98000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
98304,,,48,0.7683673469387755,1000.0,24,3961,,,,,,,,,,
99000,0.30000000447034836,1000.0,,,,,,-0.02764901819755323,480,0.2,0.22041015625,0.0003,-0.03306308761239052,0.0004793457722371386,0.022798523,0.8613021373748779,-5.971825277805328
100000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
100352,,,49,0.77,998.57,24,4042,,,,,,,,,,
101000,0.30000000447034836,1000.0,,,,,,-0.019710021506762133,490,0.2,0.165283203125,0.0003,-0.016533495858311653,0.0004266261235898128,0.015204431,0.9333643987774849,-5.961483153700828
102000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
102400,,,50,0.7750000000000001,996.58,24,4123,,,,,,,,,,
103000,0.30000000447034836,1000.0,,,,,,-0.027063558108056895,500,0.2,0.20478515625,0.0003,-0.017367057502269745,0.0005239519221504451,0.017418046,0.8801232501864433,-5.894779825210572
104000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
104448,,,51,0.7810000000000001,1000.0,24,4204,,,,,,,,,,
105000,0.30000000447034836,1000.0,,,,,,-0.025496737167122772,510,0.2,0.21767578125,0.0003,-0.03243475779891014,0.0003754527339424385,0.019916553,0.911360502243042,-6.042875675857067
106000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
106496,,,52,0.7809999999999999,1000.0,24,4286,,,,,,,,,,
107000,0.30000000447034836,1000.0,,,,,,-0.020511987476493233,520,0.2,0.2185546875,0.0003,-0.03342964127659798,0.00021233862399867577,0.020552173,0.9342813938856125,-5.933496968448162
108000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
108544,,,53,0.7880000000000001,997.9,24,4368,,,,,,,,,,
109000,0.30000000447034836,1000.0,,,,,,-0.019103093605372122,530,0.2,0.182568359375,0.0003,-0.05121186003088951,0.001447291104159376,0.017018944,0.8591814935207367,-5.894459944963455
110000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
110592,,,54,0.81,995.5,24,4449,,,,,,,,,,
111000,0.30000000447034836,1000.0,,,,,,-0.020460291212657467,540,0.2,0.193994140625,0.0003,-0.005052059888839722,0.0014467334798609955,0.016261462,0.7956098467111588,-5.878083112835884
112000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
112640,,,55,0.8100000000000002,992.32,24,4531,,,,,,,,,,
113000,0.30000000447034836,1000.0,,,,,,-0.023785499266523402,550,0.2,0.213623046875,0.0003,-0.0218425914645195,0.0003838749532519614,0.015857395,0.8987847566604614,-5.8205248311162
114000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
114688,,,56,0.8070000000000002,983.31,24,4612,,,,,,,,,,
115000,0.30000000447034836,1000.0,,,,,,-0.017550853692227975,560,0.2,0.197998046875,0.0003,-0.04699092358350754,0.000616905940887591,0.016180329,0.7359548807144165,-5.769768367707729
116000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
116736,,,57,0.8170000000000001,986.93,24,4694,,,,,,,,,,
117000,0.30000000447034836,1000.0,,,,,,-0.014817593456245958,570,0.2,0.1880859375,0.0003,-0.0386311411857605,0.0012734993866160948,0.014730681,0.6634306907653809,-5.912633349001408
118000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
118784,,,58,0.8270000000000001,988.66,24,4776,,,,,,,,,,
119000,0.30000000447034836,1000.0,,,,,,-0.020298626064322887,580,0.2,0.184326171875,0.0003,-0.019655417650938034,0.0011133156107462129,0.014868916,0.6910609304904938,-5.843884494900704
120000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
120832,,,59,0.8280000000000001,990.0,24,4858,,,,,,,,,,
121000,0.30000000447034836,1000.0,,,,,,-0.01925880608614534,590,0.2,0.190478515625,0.0003,-0.024587862193584442,0.0007529137644496587,0.017720273,0.8026175945997238,-5.862590871751308
122000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
122880,,,60,0.8300000000000002,977.09,24,4940,,,,,,,,,,
123000,0.30000000447034836,1000.0,,,,,,-0.020247448736336084,600,0.2,0.16953125,0.0003,-0.01375429704785347,0.0011739853513972776,0.014928633,0.7206841111183167,-5.675658763945103
124000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
124928,,,61,0.855,973.7,24,5022,,,,,,,,,,
125000,0.20000000298023224,1000.0,,,,,,-0.02186608416668605,610,0.2,0.216064453125,0.0003,-0.0412580743432045,0.0017273247671255377,0.019592572,0.8071398138999939,-5.6711120620369915
126000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
126976,,,62,0.8750000000000001,969.3,24,5103,,,,,,,,,,
127000,0.20000000298023224,1000.0,,,,,,-0.022214847154100426,620,0.2,0.196337890625,0.0003,-0.035392262041568756,0.0014171047544550674,0.016101668,0.7326506972312927,-5.677104850113392
128000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
129000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
129024,,,63,0.8940000000000002,967.47,24,5212,,,,,,,,,,
130000,0.20000000298023224,1000.0,,,,,,-0.021300137031357736,630,0.2,0.23056640625,0.0003,-0.02659168839454651,0.0019655330376735945,0.019869667,0.5940729379653931,-5.636770552396774
131000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
131072,,,64,0.9040000000000002,957.84,24,5294,,,,,,,,,,
132000,0.20000000298023224,1000.0,,,,,,-0.025769392205984332,640,0.2,0.225244140625,0.0003,-0.04473129287362099,0.0011404321686313778,0.019929836,0.7233253419399261,-5.63257936835289
133000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
133120,,,65,0.925,946.66,24,5376,,,,,,,,,,
134000,0.30000000447034836,1000.0,,,,,,-0.016999976462102495,650,0.2,0.19599609375,0.0003,-0.012029550969600677,0.0016706502646229638,0.015131448,0.6749550998210907,-5.641508886218071
135000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
135168,,,66,0.9450000000000002,936.1,24,5458,,,,,,,,,,
136000,0.30000000447034836,1000.0,,,,,,-0.024651905300561338,660,0.2,0.21015625,0.0003,-0.03609246015548706,0.0020547954539324566,0.017275026,0.6947370767593384,-5.629267674684525
137000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
137216,,,67,0.9640000000000002,926.17,24,5540,,,,,,,,,,
138000,0.30000000447034836,1000.0,,,,,,-0.024620519354357384,670,0.2,0.199658203125,0.0003,-0.04134082794189453,0.0010209786874384008,0.01730697,0.775068610906601,-5.452485758066177
139000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
139264,,,68,0.9880000000000001,891.75,24,5622,,,,,,,,,,
140000,0.30000000447034836,1000.0,,,,,,-0.022617057128809393,680,0.2,0.207958984375,0.0003,-0.04523753002285957,0.0016424231497694564,0.018250342,0.8455041944980621,-5.387177644670009
141000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
