eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance
0.0,1000.0,37000,,,,,,-0.029010768979787827,-6.402839474380016,0.0018184424085120553,0.0003,0.209912109375,-0.03177857082337141,0.018137567,180,0.2,0.6126374006271362
0.0,1000.0,38000,,,,,,,,,,,,,,,
,,38912,1547,0.6578947368421053,25,1000.0,19,,,,,,,,,,
0.0,1000.0,39000,,,,,,-0.018796900287270546,-6.356407323479653,0.0011433554024279148,0.0003,0.1701171875,-0.02483302337641362,0.015561039,190,0.2,0.8215985745191574
0.0,1000.0,40000,,,,,,,,,,,,,,,
,,40960,1629,0.6575,25,1000.0,20,,,,,,,,,,
0.0,1000.0,41000,,,,,,-0.05325822904706001,-6.378897723555565,0.0011165141404489987,0.0003,0.187451171875,-0.02603484785067849,0.016594183,200,0.2,0.7854823917150497
0.0,1000.0,42000,,,,,,,,,,,,,,,
0.0,1000.0,43000,,,,,,,,,,,,,,,
,,43008,1737,0.658139534883721,24,1000.0,21,,,,,,,,,,
0.0,1000.0,44000,,,,,,-0.014339497312903404,-6.367174491286278,0.0021120529109794005,0.0003,0.18828125,-0.02639309403311927,0.016094245,210,0.2,0.6754984259605408
0.0,1000.0,45000,,,,,,,,,,,,,,,
,,45056,1818,0.66,24,1000.0,22,,,,,,,,,,
0.0,1000.0,46000,,,,,,-0.010162929072976112,-6.321135132014751,0.001581250233539322,0.0003,0.19814453125,-0.025242259097285568,0.018725935,220,0.2,0.7718081623315811
0.0,1000.0,47000,,,,,,,,,,,,,,,
,,47104,1899,0.674468085106383,24,1000.0,23,,,,,,,,,,
0.0,1000.0,48000,,,,,,-0.028954481706023216,-6.267407089471817,0.0009644392914196942,0.0003,0.195361328125,-0.028476676545687953,0.016678195,230,0.2,0.6890693604946136
0.0,1000.0,49000,,,,,,,,,,,,,,,
,,49152,1980,0.6693877551020408,24,1000.0,24,,,,,,,,,,
0.0,1000.0,50000,,,,,,-0.041604552417993546,-6.290727059543133,0.0011172627545875003,0.0003,0.1673828125,-0.023562811606097966,0.01448584,240,0.2,0.647249311208725
0.0,1000.0,51000,,,,,,,,,,,,,,,
,,51200,2061,0.6705882352941177,24,1000.0,25,,,,,,,,,,
0.0,1000.0,52000,,,,,,-0.04535053297877312,-6.279098485410214,0.0011685620304888289,0.0003,0.159912109375,-0.02380455694219563,0.015036093,250,0.2,0.7049091756343842
0.0,1000.0,53000,,,,,,,,,,,,,,,
,,53248,2143,0.6792452830188679,24,1000.0,26,,,,,,,,,,
0.0,1000.0,54000,,,,,,-0.042296186089515686,-6.232620386779308,0.001025176702387398,0.0003,0.164501953125,-0.02209433341631666,0.01747312,260,0.2,0.7879168093204498
0.0,1000.0,55000,,,,,,,,,,,,,,,
,,55296,2224,0.6818181818181818,24,1000.0,27,,,,,,,,,,
0.0,1000.0,56000,,,,,,-0.037092357873916626,-6.271513879299164,0.00110159566747825,0.0003,0.1931640625,-0.027573838309035637,0.017109793,270,0.2,0.4884750247001648
0.0,1000.0,57000,,,,,,,,,,,,,,,
,,57344,2306,0.6842105263157895,24,1000.0,28,,,,,,,,,,
0.0,1000.0,58000,,,,,,-0.04604097828269005,-6.322420951724053,0.0012585198029228194,0.0003,0.2130859375,-0.0286405757360626,0.018738575,280,0.2,0.7886350452899933
