time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range
35000,10.0,0.9,,,,,,0.10439085960388184,-3.3810900010168554,0.0003,55.289204,-0.01692671313066967,-0.06416068971157074,0.9447265625,0.0018129238294932292,340,0.2
36000,10.0,0.9,,,,,,,,,,,,,,,
36864,,,-1683717611623637248,18,12.84,0,0.9000000000000005,,,,,,,,,,
37000,10.0,0.9,,,,,,0.062184274196624756,-3.1304223142564296,0.0003,76.605576,-0.01402956927777268,-0.05353688448667526,0.934765625,0.003353613257786492,360,0.2
38000,10.0,0.9,,,,,,,,,,,,,,,
38912,,,-1683717611623637248,19,12.15,0,0.9000000000000005,,,,,,,,,,
39000,10.0,0.9,,,,,,0.00016546249389648438,-2.9708974793553353,0.0003,66.59852,-0.059839325706707316,-0.05305856466293335,0.9423828125,0.0010437700778084037,380,0.2
40000,10.0,0.9,,,,,,,,,,,,,,,
40960,,,-1683717611623636992,20,12.37,0,0.9000000000000005,,,,,,,,,,
41000,10.0,0.9,,,,,,0.020538270473480225,-2.5730371713638305,0.0003,35.569824,0.10964684629580006,0.2319951355457306,0.92099609375,0.004185899637150214,400,0.2
42000,10.0,0.9,,,,,,,,,,,,,,,
43000,10.0,0.9,,,,,,,,,,,,,,,
43008,,,-1683717611623636992,21,11.33,0,0.9000000000000005,,,,,,,,,,
44000,10.0,0.9,,,,,,-0.120461106300354,-2.3241059757769107,0.0003,170.46146,0.24729774305596947,-0.07533988356590271,0.898828125,0.001395679124630078,420,0.2
45000,10.0,0.9,,,,,,,,,,,,,,,
45056,,,-1683717611623636992,22,12.26,0,0.9000000000000005,,,,,,,,,,
46000,10.0,0.9,,,,,,-0.014447808265686035,-1.9795434910804033,0.0003,284.86166,-0.0476616523694247,-0.059884265065193176,0.928076171875,0.0009589760678181847,440,0.2
47000,10.0,0.9,,,,,,,,,,,,,,,
47104,,,-1683717611623636992,23,13.41,0,0.9000000000000005,,,,,,,,,,
48000,10.0,0.9,,,,,,0.0612453818321228,-1.684835445508361,0.0003,125.08806,-0.05889844256453216,-0.059626322239637375,0.842431640625,0.0008686341518568952,460,0.2
49000,10.0,0.9,,,,,,,,,,,,,,,
49152,,,-1683717611623636992,24,17.47,0,0.9000000000000005,,,,,,,,,,
50000,1000.0,0.8,,,,,,0.1455278992652893,-1.1231333527714014,0.0003,88.82431,-0.004119642614386976,-0.05356033518910408,0.772216796875,0.00445056626749647,480,0.2
51000,1000.0,0.8,,,,,,,,,,,,,,,
51200,,,-1683717611623636736,25,20.98,0,0.9000000000000005,,,,,,,,,,
