time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/loss
36000,1000.0,0.0,,,,,,,,,,,,,,,
36864,,,25,1000.0,18,1460,0.825,,,,,,,,,,
37000,1000.0,0.0,,,,,,0.0003,0.18212890625,0.015146805,180,0.2,-6.338878343999386,0.7253397405147552,0.001174958390856773,-0.025114457265590317,-0.016616538166999817
38000,1000.0,0.0,,,,,,,,,,,,,,,
38912,,,25,1000.0,19,1541,0.8236842105263158,,,,,,,,,,
39000,1000.0,0.0,,,,,,0.0003,0.207958984375,0.018557265,190,0.2,-6.233814787864685,0.9071119651198387,0.000774283892405947,-0.028656360696186312,-0.010242437943816185
40000,1000.0,0.0,,,,,,,,,,,,,,,
40960,,,25,1000.0,20,1622,0.82,,,,,,,,,,
41000,1000.0,0.0,,,,,,0.0003,0.20029296875,0.019395586,200,0.2,-6.208778597414494,0.912996843457222,0.0003604169089157949,-0.03140442980802618,-0.06489774584770203
42000,1000.0,0.0,,,,,,,,,,,,,,,
43000,1000.0,0.0,,,,,,,,,,,,,,,
43008,,,24,1000.0,21,1730,0.8046511627906977,,,,,,,,,,
44000,1000.0,0.0,,,,,,0.0003,0.177587890625,0.013939612,210,0.2,-6.1830056548118595,0.8213352859020233,0.0008917904597183224,-0.018942231830442323,-0.030956925824284554
45000,1000.0,0.0,,,,,,,,,,,,,,,
45056,,,24,1000.0,22,1811,0.8044444444444443,,,,,,,,,,
46000,1000.0,0.0,,,,,,0.0003,0.229833984375,0.021403976,220,0.2,-6.223393912613392,0.7103277742862701,0.0010369921341407463,-0.027802935955696738,-0.02661946602165699
47000,1000.0,0.0,,,,,,,,,,,,,,,
47104,,,24,1000.0,23,1893,0.806382978723404,,,,,,,,,,
48000,1000.0,0.0,,,,,,0.0003,0.1556640625,0.015680749,230,0.2,-6.297468188405037,0.8478524386882782,0.0005925592339735885,-0.022623538586776702,-0.024290209636092186
49000,1000.0,0.0,,,,,,,,,,,,,,,
49152,,,24,1000.0,24,1974,0.8,,,,,,,,,,
50000,1000.0,0.0,,,,,,0.0003,0.168896484375,0.015363779,240,0.2,-6.20359545648098,0.8842722028493881,0.0006844008782991295,-0.02656947521463735,-0.05690440908074379
51000,1000.0,0.0,,,,,,,,,,,,,,,
51200,,,24,1000.0,25,2055,0.7941176470588235,,,,,,,,,,
52000,1000.0,0.0,,,,,,0.0003,0.165966796875,0.014293888,250,0.2,-6.164797402918339,0.9047953858971596,0.0004337380611559638,-0.021244408990605736,0.0028756046667695045
53000,1000.0,0.0,,,,,,,,,,,,,,,
53248,,,24,1000.0,26,2136,0.7943396226415094,,,,,,,,,,
54000,1000.0,0.0,,,,,,0.0003,0.20458984375,0.017222308,260,0.2,-6.094796049594879,0.9038799703121185,0.0011441907570770126,-0.02887107288261177,-0.03162712976336479
55000,1000.0,0.0,,,,,,,,,,,,,,,
55296,,,24,989.9272727272727,27,2218,0.7909090909090908,,,,,,,,,,
56000,1000.0,0.0,,,,,,0.0003,0.17890625,0.016039811,270,0.2,-6.257118652760982,0.8346623033285141,0.0009893627821384143,-0.02749289437197149,-0.025367379188537598
57000,1000.0,0.0,,,,,,,,,,,,,,,
57344,,,24,1000.0,28,2300,0.7982456140350878,,,,,,,,,,
58000,1000.0,0.0,,,,,,0.0003,0.132373046875,0.011574503,280,0.2,-6.186255671083927,0.7854323536157608,0.0013421704279608093,-0.025502793144551106,-0.02212001197040081
59000,1000.0,0.0,,,,,,,,,,,,,,,
59392,,,24,1000.0,29,2382,0.7966101694915254,,,,,,,,,,
60000,1000.0,0.10000000149011612,,,,,,0.0003,0.198388671875,0.01670259,290,0.2,-6.142857576906681,0.8845499381422997,0.00090846398497888,-0.02558495645353105,-0.030325599014759064
61000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
61440,,,24,1000.0,30,2464,0.8065573770491803,,,,,,,,,,
62000,1000.0,0.20000000298023224,,,,,,0.0003,0.196826171875,0.018335667,300,0.2,-6.216935403645039,0.8579054474830627,0.0007686602538342413,-0.026980811762041413,-0.036900073289871216
63000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
63488,,,24,1000.0,31,2545,0.8047619047619047,,,,,,,,,,
64000,1000.0,0.20000000298023224,,,,,,0.0003,0.218212890625,0.026286244,310,0.2,-6.19004837423563,0.9201514199376106,0.0003580164921686446,-0.0375963023136137,-0.05528873950242996
65000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
65536,,,24,1000.0,32,2626,0.7969230769230768,,,,,,,,,,
66000,1000.0,0.20000000298023224,,,,,,0.0003,0.18369140625,0.01821007,320,0.2,-6.222767888009548,0.9269750341773033,0.0004306687298367251,-0.025024260819191114,-0.022438544780015945
67000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
67584,,,24,995.6865671641791,33,2707,0.8044776119402984,,,,,,,,,,
68000,1000.0,0.20000000298023224,,,,,,0.0003,0.17705078125,0.0150812445,330,0.2,-6.208911356329918,0.8037268072366714,0.0006017307515321591,-0.024508889348362574,-0.04322923347353935
69000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
69632,,,24,1000.0,34,2788,0.8072463768115943,,,,,,,,,,
70000,1000.0,0.20000000298023224,,,,,,0.0003,0.17744140625,0.01524772,340,0.2,-6.175794246792793,0.9214915931224823,0.0005945062922819488,-0.026985179937037175,-0.06101275980472565
71000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
71680,,,24,992.625,35,2869,0.8083333333333333,,,,,,,,,,
72000,1000.0,0.20000000298023224,,,,,,0.0003,0.189111328125,0.0172012,350,0.2,-6.066196720302105,0.898137666285038,0.000832865921256598,-0.03111793232965283,-0.029799455776810646
73000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
73728,,,24,1000.0,36,2950,0.815068493150685,,,,,,,,,,
74000,1000.0,0.20000000298023224,,,,,,0.0003,0.202392578125,0.01701075,360,0.2,-6.086583521962166,0.7766055017709732,0.0005180936545457371,-0.025374118550098503,-0.04395230486989021
75000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
75776,,,24,996.7631578947369,37,3031,0.8144736842105263,,,,,,,,,,
76000,1000.0,0.20000000298023224,,,,,,0.0003,0.18203125,0.014235245,370,0.2,-6.005493061244488,0.923063188791275,0.0003536194316438923,-0.022183935120119715,-0.02717452310025692
77000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
77824,,,24,1000.0,38,3113,0.8207792207792207,,,,,,,,,,
78000,1000.0,0.20000000298023224,,,,,,0.0003,0.20654296875,0.018110424,380,0.2,-6.100912557542324,0.9013990685343742,0.00042325309113948605,-0.026730552873050328,-0.0413307324051857
79000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
79872,,,25,1000.0,39,3194,0.8164556962025317,,,,,,,,,,
80000,1000.0,0.20000000298023224,,,,,,0.0003,0.185986328125,0.018217051,390,0.2,-6.009793728590012,0.9395543448626995,0.0002786451511838095,-0.025770241435384377,-0.05064373090863228
81000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
81920,,,25,1000.0,40,3276,0.8160493827160493,,,,,,,,,,
82000,1000.0,0.20000000298023224,,,,,,0.0003,0.174072265625,0.01792889,400,0.2,-6.05933445096016,0.9302070736885071,0.00036714711222884944,-0.02913340308878105,-0.03591455519199371
83000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
