eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss
4.0,0.4000000059604645,80000,,,,,,0.9943331466056406,0.2,0.10804683,0.41201171875,-0.19774952461011708,8.241693468598043e-05,0.0003,390,-0.06162636901717633,-0.062034912407398224
4.0,0.4000000059604645,81000,,,,,,,,,,,,,,,
,,81920,40,4.19,23,3536,0.3999999999999999,,,,,,,,,,
50.0,0.30000000447034836,82000,,,,,,0.9873739322647452,0.2,0.9739008,0.091845703125,-0.23413597140461206,0.00017301055528413657,0.0003,400,-0.02071336568624247,-0.05968794599175453
50.0,0.30000000447034836,83000,,,,,,,,,,,,,,,
,,83968,41,22.61,23,3640,0.3699999999999999,,,,,,,,,,
50.0,0.30000000447034836,84000,,,,,,0.7418971061706543,0.2,0.0034173322,0.076220703125,-0.9276536727324128,0.0013893307759644813,0.0003,410,0.0017606535722734407,-0.007479116320610046
50.0,0.30000000447034836,85000,,,,,,,,,,,,,,,
50.0,0.30000000447034836,86000,,,,,,,,,,,,,,,
,,86016,42,41.51,22,3754,0.33699999999999974,,,,,,,,,,
50.0,0.30000000447034836,87000,,,,,,0.7782668322324753,0.2,0.005950132,0.090478515625,-0.8083592783659697,0.0009541854103190417,0.0003,420,-0.002942866340163164,-0.007899869233369827
50.0,0.30000000447034836,88000,,,,,,,,,,,,,,,
,,88064,43,49.0,22,3858,0.31899999999999995,,,,,,,,,,
50.0,0.30000000447034836,89000,,,,,,0.8181392699480057,0.2,0.0030231334,0.0546875,-0.7466347049921751,0.000772610625449488,0.0003,430,-0.0009185959715978242,-0.005133429542183876
50.0,0.30000000447034836,90000,,,,,,,,,,,,,,,
,,90112,44,48.5,22,3962,0.32099999999999995,,,,,,,,,,
50.0,0.30000000447034836,91000,,,,,,0.7475186288356781,0.2,0.0025263214,0.0333984375,-0.7242913803085684,0.0010898380005073705,0.0003,440,5.12226702994667e-05,0.0019534374587237835
50.0,0.30000000447034836,92000,,,,,,,,,,,,,,,
,,92160,45,49.0,22,4066,0.3239999999999999,,,,,,,,,,
50.0,0.30000000447034836,93000,,,,,,0.8041996210813522,0.2,0.0044727647,0.04345703125,-0.6755172019824386,0.000781759160781803,0.0003,450,0.0004986332613043487,0.014447198249399662
50.0,0.30000000447034836,94000,,,,,,,,,,,,,,,
,,94208,46,49.59,22,4170,0.32299999999999995,,,,,,,,,,
50.0,0.30000000447034836,95000,,,,,,0.7547942399978638,0.2,0.0015085428,0.03671875,-0.6147008558735252,0.0009278530595679512,0.0003,460,0.0005635943962261081,0.009072928689420223
50.0,0.30000000447034836,96000,,,,,,,,,,,,,,,
,,96256,47,48.89,22,4274,0.31899999999999995,,,,,,,,,,
50.0,0.30000000447034836,97000,,,,,,0.9518953450024128,0.2,0.00078771857,0.02734375,-0.625684898160398,0.00017066790142621356,0.0003,470,0.00028840251179644837,0.0013166045537218451
50.0,0.30000000447034836,98000,,,,,,,,,,,,,,,
,,98304,48,49.2,22,4377,0.31599999999999995,,,,,,,,,,
50.0,0.30000000447034836,99000,,,,,,0.8263579159975052,0.2,0.002721042,0.0322265625,-0.6310778988525272,0.0006179152088407136,0.0003,480,-0.0004228889825753868,-0.0006358433747664094
50.0,0.30000000447034836,100000,,,,,,,,,,,,,,,
,,100352,49,49.16,22,4481,0.32199999999999995,,,,,,,,,,
