eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
,,30720,5.12,15,0.3999999999999999,0,-1683715400403607552,,,,,,,,,,
5.0,0.4,31000,,,,,,13.443933,-0.09023079206235707,0.2,-1.0156519412994385,300,0.0003,0.457177734375,0.0006208067388854488,-0.09282580018043518,-0.28755314368754625
5.0,0.4,32000,,,,,,,,,,,,,,,
,,32768,5.11,16,0.3999999999999999,0,-1683715400403607296,,,,,,,,,,
5.0,0.4,33000,,,,,,12.414572,-0.09436924157198519,0.2,-0.9845149517059326,320,0.0003,0.443701171875,0.00024220614809244978,-0.09209946542978287,-0.28519407818093895
5.0,0.4,34000,,,,,,,,,,,,,,,
,,34816,5.09,17,0.3999999999999999,0,-1683715400403607296,,,,,,,,,,
5.0,0.4,35000,,,,,,30.761345,-0.08802821387071162,0.2,-1.0598704814910889,340,0.0003,0.45830078125,0.0004900190404242722,-0.033865850418806076,-0.2823783376719803
5.0,0.4,36000,,,,,,,,,,,,,,,
,,36864,5.11,18,0.3999999999999999,0,-1683715400403607296,,,,,,,,,,
5.0,0.4,37000,,,,,,10.195593,-0.07502741498756223,0.2,-1.0742714405059814,360,0.0003,0.50732421875,0.0003033225363076042,-0.08760149031877518,-0.28683384847827254
5.0,0.4,38000,,,,,,,,,,,,,,,
,,38912,5.16,19,0.3999999999999999,0,-1683715400403607296,,,,,,,,,,
5.0,0.4,39000,,,,,,87.39549,-0.07321479122038,0.2,-1.0928127765655518,380,0.0003,0.5166015625,0.0002235290729267092,-0.05871701240539551,-0.3022820146288723
5.0,0.4,40000,,,,,,,,,,,,,,,
,,40960,5.17,20,0.3999999999999999,0,-1683715400403607040,,,,,,,,,,
5.0,0.4,41000,,,,,,22.712608,-0.10288129050750286,0.2,-0.992340087890625,400,0.0003,0.4462890625,0.0003305457403087075,-0.09600929915904999,-0.31466126423329116
5.0,0.4,42000,,,,,,,,,,,,,,,
5.0,0.4,43000,,,,,,,,,,,,,,,
,,43008,5.13,21,0.3999999999999999,0,-1683715400403607040,,,,,,,,,,
5.0,0.4,44000,,,,,,15.084806,-0.1100273892749101,0.2,-0.987293004989624,420,0.0003,0.43408203125,0.0009767832037567814,-0.0952233299612999,-0.3258272518403828
5.0,0.4,45000,,,,,,,,,,,,,,,
,,45056,5.04,22,0.3999999999999999,0,-1683715400403607040,,,,,,,,,,
5.0,0.4,46000,,,,,,15.999266,-0.10636773587903008,0.2,-0.9815263748168945,440,0.0003,0.4267578125,0.00011169969745079555,-0.10679203271865845,-0.33333347728475926
5.0,0.4,47000,,,,,,,,,,,,,,,
,,47104,5.03,23,0.3999999999999999,0,-1683715400403606784,,,,,,,,,,
5.0,0.4,48000,,,,,,15.404169,-0.10942038239445537,0.2,-1.0659635066986084,460,0.0003,0.43505859375,0.00016032474745557578,-0.10993028432130814,-0.35135890580713747
5.0,0.4,49000,,,,,,,,,,,,,,,
,,49152,5.0,24,0.3999999999999999,0,-1683715400403606784,,,,,,,,,,
5.0,0.4,50000,,,,,,30.86363,-0.1027948809787631,0.2,-0.9850066900253296,480,0.0003,0.45361328125,6.942958255038434e-05,-0.09472230821847916,-0.3720696482807398
5.0,0.4,51000,,,,,,,,,,,,,,,
,,51200,5.03,25,0.3999999999999999,0,-1683715400403606784,,,,,,,,,,
