eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
1000.0,0.0,32000,,,,,,,,,,,,,,,
,,32768,1303,0.721875,16,1000.0,25,,,,,,,,,,
1000.0,0.0,33000,,,,,,0.850590705871582,-0.042012155055999756,0.178564453125,0.015266003,-6.332631084322929,0.00119612684875392,0.0003,0.2,160,-0.02503781401901506
1000.0,0.0,34000,,,,,,,,,,,,,,,
,,34816,1385,0.7147058823529412,17,1000.0,25,,,,,,,,,,
1000.0,0.0,35000,,,,,,0.92526575922966,-0.003602906595915556,0.18583984375,0.016236551,-6.3353833079338076,0.0006343397835962605,0.0003,0.2,170,-0.028765095170820133
1000.0,0.0,36000,,,,,,,,,,,,,,,
,,36864,1466,0.7194444444444446,18,1000.0,25,,,,,,,,,,
1000.0,0.0,37000,,,,,,0.8635373711585999,-0.0010196618968620896,0.166015625,0.0142268175,-6.345676770806312,0.0006890998774451873,0.0003,0.2,180,-0.025353037830791438
1000.0,0.0,38000,,,,,,,,,,,,,,,
,,38912,1548,0.7105263157894738,19,1000.0,25,,,,,,,,,,
1000.0,0.0,39000,,,,,,0.8405767977237701,-0.029335828498005867,0.2154296875,0.018466419,-6.324619074165821,0.0004656455999793252,0.0003,0.2,190,-0.02899187018047087
1000.0,0.0,40000,,,,,,,,,,,,,,,
,,40960,1629,0.71,20,1000.0,25,,,,,,,,,,
1000.0,0.0,41000,,,,,,0.8294647634029388,-0.060413163155317307,0.2142578125,0.020604488,-6.269630987942219,0.0007810441966739745,0.0003,0.2,200,-0.034272642855648884
1000.0,0.0,42000,,,,,,,,,,,,,,,
