time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss
19000,0.5,1000.0,,,,,,0.0003,-0.07079360634088516,0.919140625,180,0.34653961658477783,0.2,-0.030339171845116652,0.004122470526908728,2.745906,-6.018230633437634
20000,0.5,1000.0,,,,,,,,,,,,,,,
20480,,,10,0,-1683717609766310656,20.46,0.9000000000000005,,,,,,,,,,
21000,0.0,1000.0,,,,,,0.0003,-0.05494724586606026,0.941943359375,200,0.3696887493133545,0.2,-0.04453194524976425,0.0012792827025350562,6.1108828,-5.832409934699536
22000,0.0,1000.0,,,,,,,,,,,,,,,
22528,,,11,0,-1683717609766310656,19.84,0.9000000000000005,,,,,,,,,,
23000,0.0,1000.0,,,,,,0.0003,-0.08074203878641129,0.950830078125,220,0.3199707269668579,0.2,-0.056057181407231836,0.0002354960570755793,7.524822,-5.648765408992768
24000,0.0,1000.0,,,,,,,,,,,,,,,
24576,,,12,0,-1683717609766310400,19.59,0.9000000000000005,,,,,,,,,,
25000,0.9,10.0,,,,,,0.0003,-0.024502653628587723,0.946533203125,240,0.27335023880004883,0.2,-0.05252635786309838,0.0012225892577589549,10.386607,-5.538926275074482
26000,0.9,10.0,,,,,,,,,,,,,,,
26624,,,13,0,-1683717609766310400,17.21,0.9000000000000005,,,,,,,,,,
27000,0.0,1000.0,,,,,,0.0003,-0.02918177656829357,0.948828125,260,0.22647088766098022,0.2,-0.057997802170575596,0.001612047301932762,13.381576,-5.191839671134948
28000,0.0,1000.0,,,,,,,,,,,,,,,
28672,,,14,0,-1683717609766310400,17.78,0.9000000000000005,,,,,,,,,,
29000,0.0,1000.0,,,,,,0.0003,-0.09163830429315567,0.95771484375,280,0.20099973678588867,0.2,-0.05822514333121944,0.0034196867936771014,19.041368,-5.023214012384415
30000,0.0,1000.0,,,,,,,,,,,,,,,
30720,,,15,0,-1683717609766310144,16.16,0.9000000000000005,,,,,,,,,,
31000,0.9,10.0,,,,,,0.0003,-0.070660300552845,0.961181640625,300,0.24656754732131958,0.2,-0.06314782869885675,0.0019303978392599674,34.165474,-4.653851878643036
32000,0.9,10.0,,,,,,,,,,,,,,,
32768,,,16,0,-1683717609766310144,14.14,0.9000000000000005,,,,,,,,,,
33000,0.9,10.0,,,,,,0.0003,-0.08922775834798813,0.946728515625,320,0.14135509729385376,0.2,-0.051585206697927787,0.003714458702961565,69.34976,-4.303019104897976
34000,0.9,10.0,,,,,,,,,,,,,,,
34816,,,17,0,-1683717609766310144,13.0,0.9000000000000005,,,,,,,,,,
35000,0.9,10.0,,,,,,0.0003,-0.08620598912239075,0.95830078125,340,0.06600296497344971,0.2,-0.06319947011361364,0.00114781453219166,75.54309,-4.092616315931082
36000,0.9,10.0,,,,,,,,,,,,,,,
36864,,,18,0,-1683717609766309888,12.54,0.9000000000000005,,,,,,,,,,
37000,0.9,10.0,,,,,,0.0003,-0.06619422882795334,0.952783203125,360,0.01089257001876831,0.2,-0.07184608575771563,0.0024566537271653033,55.37876,-3.7797191612422467
38000,0.9,10.0,,,,,,,,,,,,,,,
38912,,,19,0,-1683717609766309888,11.54,0.9000000000000005,,,,,,,,,,
39000,0.9,10.0,,,,,,0.0003,-0.10397165268659592,0.9494140625,380,0.0051558613777160645,0.2,-0.02590670286444947,0.0036670241987394546,127.147804,-3.5031357549130915
40000,0.9,10.0,,,,,,,,,,,,,,,
40960,,,20,0,-1683717609766309888,11.54,0.9000000000000005,,,,,,,,,,
41000,0.9,10.0,,,,,,0.0003,-0.09925346821546555,0.905224609375,400,0.008681237697601318,0.2,0.33224613877828235,0.001167015328223897,162.62067,-3.282962179929018
42000,0.9,10.0,,,,,,,,,,,,,,,
43000,0.9,10.0,,,,,,,,,,,,,,,
43008,,,21,0,-1683717609766309888,11.15,0.9000000000000005,,,,,,,,,,
44000,0.9,10.0,,,,,,0.0003,-0.07937575876712799,0.95263671875,420,-0.06487596035003662,0.2,-0.06764832995831967,0.0023165297111177098,76.99173,-3.076839966326952
45000,0.9,10.0,,,,,,,,,,,,,,,
45056,,,22,0,-1683717609766309888,11.0,0.9000000000000005,,,,,,,,,,
46000,0.9,10.0,,,,,,0.0003,-0.09380467236042023,0.96611328125,440,-0.1347811222076416,0.2,-0.07772273739101365,0.0014009159911125835,94.135666,-2.8175377301871776
47000,0.9,10.0,,,,,,,,,,,,,,,
47104,,,23,0,-1683717609766309888,11.04,0.9000000000000005,,,,,,,,,,
48000,0.9,10.0,,,,,,0.0003,-0.08745738118886948,0.952587890625,460,-0.07872235774993896,0.2,-0.0714800949965138,0.003870555523644725,81.63109,-2.7733084961771963
49000,0.9,10.0,,,,,,,,,,,,,,,
49152,,,24,0,-1683717609766309632,10.53,0.9000000000000005,,,,,,,,,,
50000,0.9,10.0,,,,,,0.0003,-0.08656486868858337,0.93408203125,480,-0.06895923614501953,0.2,-0.058708701783325525,0.00206376307512528,167.31497,-2.6397783726453783
51000,0.9,10.0,,,,,,,,,,,,,,,
51200,,,25,0,-1683717609766309632,10.75,0.9000000000000005,,,,,,,,,,
