time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates
82000,0.10000000149011612,1000.0,,,,,,0.2,-0.026703318807994945,-0.02729383297264576,0.0007806025194440735,0.0003,0.8144719004631042,0.018920956,-6.08690881729126,0.19833984375,400
83000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
83968,,,3348,41,25,1000.0,0.7289156626506024,,,,,,,,,,
84000,0.10000000149011612,1000.0,,,,,,0.2,-0.022472103146719748,-0.04539148136973381,0.0006635450060457515,0.0003,0.7420608401298523,0.013742177,-6.1830158919096,0.15869140625,410
85000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
86000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
86016,,,3456,42,24,1000.0,0.7290697674418604,,,,,,,,,,
87000,0.10000000149011612,1000.0,,,,,,0.2,-0.019370127272850368,-0.012749030254781246,0.0006873904004805808,0.0003,0.7974914908409119,0.017839614,-6.130078238248825,0.197607421875,420
88000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
88064,,,3537,43,24,998.0340909090909,0.7318181818181819,,,,,,,,,,
89000,0.10000000149011612,1000.0,,,,,,0.2,-0.025323882687371225,-0.03765038028359413,0.0007751631640076084,0.0003,0.8573236614465714,0.018174022,-6.12545824944973,0.20380859375,430
90000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
90112,,,3618,44,24,1000.0,0.7322222222222223,,,,,,,,,,
91000,0.10000000149011612,1000.0,,,,,,0.2,-0.031647597745177336,-0.039975933730602264,0.0004910097152333037,0.0003,0.8547040671110153,0.022892889,-6.087068212032318,0.25107421875,440
92000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
92160,,,3699,45,24,1000.0,0.7336956521739131,,,,,,,,,,
93000,0.10000000149011612,1000.0,,,,,,0.2,-0.02274289356719237,-0.02911883406341076,0.0005527946122811045,0.0003,0.8179674744606018,0.01480849,-6.042740505933762,0.169921875,450
94000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
94208,,,3780,46,24,1000.0,0.7436170212765958,,,,,,,,,,
95000,0.10000000149011612,1000.0,,,,,,0.2,-0.027824349960428662,-0.025872839614748955,0.0007736710563222005,0.0003,0.7049631774425507,0.01698803,-6.015900075435638,0.19248046875,460
96000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
96256,,,3861,47,24,1000.0,0.7447916666666666,,,,,,,,,,
97000,0.10000000149011612,1000.0,,,,,,0.2,-0.024549589920206928,-0.05631504952907562,0.00039151297087300916,0.0003,0.7858670949935913,0.023952529,-6.1443593323230745,0.274169921875,470
98000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
98304,,,3942,48,24,1000.0,0.7520408163265306,,,,,,,,,,
99000,0.10000000149011612,1000.0,,,,,,0.2,-0.02780518737854436,-0.038740333169698715,0.001137374882819131,0.0003,0.8044510781764984,0.016298704,-5.995626291632652,0.18251953125,480
100000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
100352,,,4023,49,24,1000.0,0.753,,,,,,,,,,
101000,0.10000000149011612,1000.0,,,,,,0.2,-0.022551868417940567,-0.03344129025936127,0.0009445453496482514,0.0003,0.5025120377540588,0.01678304,-6.060994267463684,0.18251953125,490
102000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
102400,,,4103,50,24,1000.0,0.755,,,,,,,,,,
103000,0.10000000149011612,1000.0,,,,,,0.2,-0.024634572508512066,-0.06537623703479767,0.0008128103869694314,0.0003,0.7626135051250458,0.02075494,-6.136262385547161,0.211962890625,500
104000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
104448,,,4184,51,24,1000.0,0.76,,,,,,,,,,
105000,0.10000000149011612,1000.0,,,,,,0.2,-0.018217435691622087,0.00031239454983733594,0.00027462737798487067,0.0003,0.9112861678004265,0.01929082,-6.103399258852005,0.19482421875,510
106000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
106496,,,4265,52,24,989.71,0.7630000000000001,,,,,,,,,,
107000,0.10000000149011612,1000.0,,,,,,0.2,-0.028547247039387002,-0.05268680304288864,0.0011617094298344455,0.0003,0.8018701374530792,0.01838252,-5.9910701856017115,0.208447265625,520
108000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
108544,,,4346,53,24,988.33,0.7670000000000003,,,,,,,,,,
