eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate
0.4,33000,5.0,,,,,,0.7080078125,-0.9897148609161377,320,0.2,12.140783,2.2129707533480315e-05,0.03211269791354425,-0.21156680607236922,0.01603403128683567,0.0003
0.4,34000,5.0,,,,,,,,,,,,,,,
,34816,,17,-1683715399373359104,5.33,0,0.3999999999999999,,,,,,,,,,
0.4,35000,5.0,,,,,,0.75390625,-1.0165724754333496,340,0.2,14.737848,0.0005677666310248241,0.048642685110098685,-0.21429704669862987,0.07836035639047623,0.0003
0.4,36000,5.0,,,,,,,,,,,,,,,
,36864,,18,-1683715399373359104,5.34,0,0.3999999999999999,,,,,,,,,,
0.4,37000,5.0,,,,,,0.50048828125,-1.1065843105316162,360,0.2,13.487644,0.00023872840098420055,-0.07189481952227653,-0.2118351158685982,-0.0466311015188694,0.0003
0.4,38000,5.0,,,,,,,,,,,,,,,
,38912,,19,-1683715399373358848,5.13,0,0.3999999999999999,,,,,,,,,,
0.4,39000,5.0,,,,,,0.58203125,-1.113389015197754,380,0.2,67.04648,0.00035734445330461997,-0.023663791685248726,-0.20907365104649217,-0.0015999898314476013,0.0003
0.4,40000,5.0,,,,,,,,,,,,,,,
,40960,,20,-1683715399373358848,5.15,0,0.3999999999999999,,,,,,,,,,
0.4,41000,5.0,,,,,,0.645458984375,-0.8807992935180664,400,0.2,23.858744,0.0005360686914869462,0.0034552573022665458,-0.19196509120520205,-0.022799916565418243,0.0003
0.4,42000,5.0,,,,,,,,,,,,,,,
0.4,43000,5.0,,,,,,,,,,,,,,,
,43008,,21,-1683715399373358848,5.12,0,0.3999999999999999,,,,,,,,,,
0.4,44000,5.0,,,,,,0.6611328125,-0.9772286415100098,420,0.2,124.5678,9.94148706638498e-05,0.016077447557472625,-0.1801048353780061,0.01861400716006756,0.0003
0.4,45000,5.0,,,,,,,,,,,,,,,
,45056,,22,-1683715399373358592,5.06,0,0.3999999999999999,,,,,,,,,,
0.4,46000,5.0,,,,,,0.6455078125,-0.9915958642959595,440,0.2,19.200348,0.0006700010198400719,0.013139729981776326,-0.17187411892227827,0.06958689540624619,0.0003
0.4,47000,5.0,,,,,,,,,,,,,,,
,47104,,23,-1683715399373358592,5.06,0,0.3999999999999999,,,,,,,,,,
0.4,48000,5.0,,,,,,0.414013671875,-1.0045855045318604,460,0.2,32.3502,9.28287943203543e-05,-0.09956788551062346,-0.17140001708175986,-0.061638858169317245,0.0003
0.4,49000,5.0,,,,,,,,,,,,,,,
,49152,,24,-1683715399373358592,5.05,0,0.3999999999999999,,,,,,,,,,
0.4,50000,5.0,,,,,,0.427734375,-1.0478169918060303,480,0.2,65.27679,0.00022334387766989038,-0.100279290555045,-0.18469741623848676,-0.10467428714036942,0.0003
0.4,51000,5.0,,,,,,,,,,,,,,,
,51200,,25,-1683715399373358336,5.07,0,0.3999999999999999,,,,,,,,,,
