eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction
,,83968,4.9,3796,0.3999999999999999,22,41,,,,,,,,,,
4.0,0.4000000059604645,84000,,,,,,-0.44854155126959083,-0.014054572829627432,0.9780805688351393,-0.024268416687846184,0.0003,0.2,0.011501167,410,0.0003688453220249244,0.25087890625
4.0,0.4000000059604645,85000,,,,,,,,,,,,,,,
4.0,0.4000000059604645,86000,,,,,,,,,,,,,,,
,,86016,4.39,3866,0.3999999999999999,22,42,,,,,,,,,,
4.0,0.4000000059604645,87000,,,,,,-0.3531398395542055,-0.039275988235021944,0.9888458382338285,-0.094339519739151,0.0003,0.2,0.026210172,420,0.00017108181564839953,0.262255859375
4.0,0.4000000059604645,88000,,,,,,,,,,,,,,,
,,88064,4.61,3935,0.3999999999999999,22,43,,,,,,,,,,
4.0,0.4000000059604645,89000,,,,,,-0.24591268114745618,-0.0687678963469807,0.9959322684444487,-0.09601195901632309,0.0003,0.2,0.054859962,430,5.7108034156883034e-05,0.510302734375
4.0,0.4000000059604645,90000,,,,,,,,,,,,,,,
,,90112,4.24,4002,0.40099999999999997,22,44,,,,,,,,,,
4.0,0.4000000059604645,91000,,,,,,-0.2533895753324032,-0.01462387767387554,0.9984317843336612,-0.08650589734315872,0.0003,0.2,0.056111597,440,2.209036875076009e-05,0.14140625
4.0,0.4000000059604645,92000,,,,,,,,,,,,,,,
,,92160,4.79,4072,0.3999999999999999,22,45,,,,,,,,,,
4.0,0.4000000059604645,93000,,,,,,-0.31871985560283067,-0.0186487519153161,0.99866707471665,8.437807264272124e-05,0.0003,0.2,0.004144787,450,2.8217012943088094e-06,0.061474609375
4.0,0.4000000059604645,94000,,,,,,,,,,,,,,,
,,94208,4.54,4140,0.40099999999999997,22,46,,,,,,,,,,
4.0,0.4000000059604645,95000,,,,,,-0.2584858656860888,-0.03076784209406469,0.9991380054852925,-0.03383641690015793,0.0003,0.2,0.0049379794,460,1.193290105288014e-05,0.07900390625
4.0,0.4000000059604645,96000,,,,,,,,,,,,,,,
,,96256,4.28,4208,0.4019999999999999,22,47,,,,,,,,,,
4.0,0.4000000059604645,97000,,,,,,-0.12449477433692664,-0.02977296244353056,0.9956641839817166,-0.04196637496352196,0.0003,0.2,0.033990055,470,6.286153439774011e-05,0.224072265625
4.0,0.4000000059604645,98000,,,,,,,,,,,,,,,
,,98304,4.08,4275,0.4019999999999999,22,48,,,,,,,,,,
4.0,0.4000000059604645,99000,,,,,,-0.05984584013931453,-0.01700360390532296,0.9948977893218398,-0.018107814714312553,0.0003,0.2,0.029265733,480,7.668135008840338e-05,0.019775390625
4.0,0.4000000059604645,100000,,,,,,,,,,,,,,,
,,100352,4.09,4342,0.4019999999999999,23,49,,,,,,,,,,
